age_group,race,gender,BMD,BMD_sd
2,1,2,955,123
3,1,2,945,130
4,1,2,920,136
5,1,2,876,139
6,1,2,809,140
7,1,2,740,129
8,1,2,679,135
2,1,1,1055,146
3,1,1,1038,144
4,1,1,1002,140
5,1,1,990,143
6,1,1,969,157
7,1,1,928,151
8,1,1,859,161
2,2,2,1040,135
3,2,2,1017,142
4,2,2,1034,160
5,2,2,973,175
6,2,2,890,154
7,2,2,838,154
8,2,2,723,146
2,2,1,1189,171
3,2,1,1141,166
4,2,1,1094,162
5,2,1,1072,185
6,2,1,1027,168
7,2,1,984,173
8,2,1,933,194
2,3,2,997.5,129
3,3,2,981,136
4,3,2,977,148
5,3,2,924.5,157
6,3,2,849.5,147
7,3,2,789,141.5
8,3,2,701,140.5
2,3,1,1122,158.5
3,3,1,1089.5,155
4,3,1,1048,151
5,3,1,1031,164
6,3,1,998,162.5
7,3,1,956,162
8,3,1,896,177.5
